date,forecasted price
2017-03-10,204.849842323
2017-03-11,204.047496432
2017-03-12,205.214681459
2017-03-13,201.980074276
2017-03-14,207.526776201
2017-03-15,200.69296725
2017-03-16,198.879031389
2017-03-17,202.638465498
2017-03-18,198.18764309
2017-03-19,194.803806308
2017-03-20,192.462676927
2017-03-21,194.218406956
2017-03-22,195.368841905
2017-03-23,196.10426483
2017-03-24,197.535357035
2017-03-25,194.785087976
2017-03-26,198.95973644
2017-03-27,198.255606389
2017-03-28,205.421522832
2017-03-29,211.669576668
2017-03-30,210.433071449
2017-03-31,213.126445192
2017-04-01,213.078451778
2017-04-02,220.877474492
2017-04-03,225.55427806
2017-04-04,231.311343471
2017-04-05,234.737516544
2017-04-06,232.418990267
2017-04-07,236.494629296
2017-04-08,238.010003146
2017-04-09,240.325320367
2017-04-10,246.551328875
2017-04-11,246.287811149
2017-04-12,250.644373624
2017-04-13,255.348479937
2017-04-14,256.431813322
2017-04-15,260.851515122
2017-04-16,260.023591311
2017-04-17,260.655189708
2017-04-18,259.947903966
2017-04-19,267.849383921
2017-04-20,270.864144761
2017-04-21,277.050209156
2017-04-22,276.503121031
2017-04-23,273.921102022
2017-04-24,274.214597251
2017-04-25,275.003471674
2017-04-26,275.496456389
2017-04-27,280.913465109
2017-04-28,280.163774672
2017-04-29,280.771046626
2017-04-30,279.694090083
